ID,Canonical_Smiles,Inhibition
TRAIN_00219,OC(=O)COc1ccc(cc1)C#Cc2ccc(cc2)C(=O)NCc3ccccc3,39.5
TRAIN_00220,Cc1nc(ccc1[N+](=O)[O-])c2ccc(cc2)S(=O)(=O)C,16.5
TRAIN_00221,Cl.COc1cc2CNCCc2cc1Nc3ncc(Cl)c(Nc4ccc(cc4OC)N5CCON=C5)n3,77.1
TRAIN_00222,COc1cc2CN(CCCc2cc1N)C(=O)OC(C)(C)C,71.3
TRAIN_00223,CC(C)[C@H](NC(=O)c1ccc2nc(cn2c1)c3ccc(NC(=O)NCc4ccccc4)cc3)C(=O)O,15.9
TRAIN_00224,C[C@@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccccc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)C,55.6
TRAIN_00225,Cc1cc(O)ccc1c2oc3ccc(cc3n2)S(=O)(=O)C,45.7
TRAIN_00226,CSc1ncc(Br)c(OC(C)C)n1,13.4
TRAIN_00227,OC(=O)C1Cc2ccccc2N1C(=O)c3cccnc3,18.4
TRAIN_00228,COC(=O)CC1CCC(CC1)c2ccc(NC(=O)CCC(=O)O)cc2,23.9
TRAIN_00229,Cc1cnc(Cl)nc1C2=CS(=O)(=O)c3ccccc23,40.8
TRAIN_00230,CCOc1ccc(cc1)C(=O)Nc2ccc(NC(=O)OC(C)(C)C)cc2,14.6
TRAIN_00231,CC(C)(C)OC(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N2CCC[C@H]2C(=O)O,5.74
TRAIN_00232,Oc1ccc(cc1)c2oc3ccc(cc3n2)[N+](=O)[O-],72.8
TRAIN_00233,CCCNC1=Nc2ccccc2S(=O)(=O)N1CCC,38.0
TRAIN_00234,OC(=O)c1cn(Cc2cn(nn2)c3cccnc3)c4ccc(cc14)[N+](=O)[O-],26.1
TRAIN_00235,Clc1cc(Oc2ncccc2C#N)ccc1C#N,11.4
TRAIN_00236,OCCCn1c(Cc2ccccn2)nc3ccccc13,10.2
TRAIN_00237,Ic1ccc(cc1)n2ccnc2,73.6
TRAIN_00238,CN1C(=O)CC2(CCN(CC2)C(=O)c3cccc(c3)c4ccc(F)cc4)N=C1N,0.0
TRAIN_00239,CSc1ccc(cc1)c2ncc(C(=O)N3CCN(CC3)c4cccc(Cl)c4)n2C,23.3
TRAIN_00240,COC(=O)c1cc(c(OC)c(Br)c1OC)C(C)(C)C,0.0
TRAIN_00241,NC(=O)[C@H]1C[C@H]2CCCC[C@H]2[C@@H]1\C=C\c3ccc(cn3)c4cccc(F)c4,0.0
TRAIN_00242,CCOC(=O)CN1C(=O)N(c2cccc(O)c2)c3ncnc(N)c13,0.0
TRAIN_00243,CC1C=CC(COC(=O)C)C2C1C(=O)N(C)C2=O,0.0
TRAIN_00244,COC(=O)C=C1CCN(CC1)C(=O)c2cccc(Br)c2,0.0
TRAIN_00245,Nc1ccccc1C(=O)N2CCN(CC2)C3CCCCC3,0.0
TRAIN_00246,Oc1cc(OCc2ccccc2)ccc1c3n[nH]cc3NC(=O)Nc4ccccc4,41.2
