"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2024076";"";"None";"381.36";"0";"2.51";"5";"C[C@@H](C(=O)Nc1nncs1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1";"Inhibition";"'='";"66.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2026798";"Inhibition of CYP3A4 using BFC as substrate at 10 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2021812";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"66.0"
"CHEMBL449276";"";"None";"645.72";"1";"4.21";"4a";"CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)N1CCC(NS(=O)(=O)c2cc(S(=O)(=O)c3ccccc3)ccc2C(F)(F)F)CC1";"Inhibition";"'='";"55.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1012652";"Inhibition of CYP3A4 at 3 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139350";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"55.0"
"CHEMBL2048912";"";"None";"522.03";"2";"5.08";"51m";"CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21";"Inhibition";"'='";"21.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2050655";"Inhibition of CYP3A4 at 10 uM after 15 mins";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046372";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"21.2"
"CHEMBL2031758";"";"None";"366.48";"0";"4.37";"19";"O=C1c2ccc(-c3ccc(F)cc3)cc2CCN1CCN1CCCCCC1";"Inhibition";"'='";"47.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2034682";"Inhibition of CYP3A4 at 3 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2029265";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"47.0"
"CHEMBL180671";"";"None";"377.53";"1";"5.95";"1";"CCN(CC)CCCC(C)Nc1ccnc2cc(Oc3ccccc3)ccc12";"Inhibition";"'='";"114.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1103801";"Inhibition of CYP3A4 in human liver microsomes assessed as metabolite produced at 1 uM using midazolam as substrate by LC-MS/MS analysis relative to control";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157913";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"114.0"
"CHEMBL2017106";"";"None";"475.92";"0";"3.92";"22";"CC(=O)NCCc1ccccc1-c1onc([C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)c1Cl";"Inhibition";"'='";"74.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2020697";"Inhibition of CYP3A4 assessed as time dependent inhibition of conversion of testosterone to 6-beta-hydroxy-testosterone at 10 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016495";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"74.0"
"CHEMBL1379780";"";"None";"407.32";"0";"4.97";"6";"O=S(=O)(Nc1cccc(CCc2ccccn2)c1)c1cc(Cl)ccc1Cl";"Inhibition";"'='";"82.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1837388";"Inhibition of CYP3A4 in human liver microsomes using NADPH at 10 uM by LC-MS/MS analysis relative to control";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833956";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"82.0"
"CHEMBL1669803";"";"None";"505.52";"1";"4.42";"11e";"CN(C)CC(=O)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1";"Inhibition";"'='";"19.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1670282";"Inhibition of CYP3A4 at 10 uM using testosterone as substrate";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1667827";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"19.0"
"CHEMBL4793030";"";"None";"490.09";"1";"6.62";"31";"CC(C)N1CC=C(c2ccc(/C(=C(/CCCO)c3ccccc3)c3cccc(O)c3)cc2)CC1.Cl";"Inhibition";"'='";"41.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4709249";"Inhibition of CYP3A4 (unknown origin) in liver microsomes at 10 uM incubated for 15 mins relative to control";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsomes";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4706533";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"Dose = 10.0 microM | TIME = 0.25 hr";"INHIBITOR";"";"41.9"
"CHEMBL282567";"PROADIFEN";"-1.0";"353.51";"0";"4.66";"SKF-525A";"CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4730934";"Inhibition of CYP3A4 in HBV-infected human primary hepatocytes at 5 to 100 uM using luciferin-IPA as substrate treated for 1 hr on day 5 post-infection followed by removal of media and supplemented with fresh media and further incubated for 3 days then followed by treatment for 1 hr on day 8 post-infection followed by removal of media and supplemented with fresh media and further incubated for 3 days and measured on day 11 post-infection by P450-Glo chemiluminescent assay";"A";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Primary hepatocyte";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4725437";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"Dose: 5-100";"INHIBITOR";"";""
"CHEMBL213559";"";"None";"415.94";"1";"5.75";"17";"CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(F)ccc1OC";"Inhibition";"'='";"62.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1103808";"Inhibition of CYP3A4 in human liver microsomes assessed as metabolite produced at 10 uM using testosterone as substrate by LC-MS/MS analysis relative to control";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157913";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"62.0"
"CHEMBL1087964";"";"None";"357.88";"1";"5.20";"7";"CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1";"Inhibition";"'='";"94.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1103807";"Inhibition of CYP3A4 in human liver microsomes assessed as metabolite produced at 10 uM using midazolam as substrate by LC-MS/MS analysis relative to control";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157913";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"94.0"
"CHEMBL1088375";"";"None";"368.91";"0";"5.00";"9";"CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccn1";"Inhibition";"'='";"102.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1103802";"Inhibition of CYP3A4 in human liver microsomes assessed as metabolite produced at 1 uM using testosterone as substrate by LC-MS/MS analysis relative to control";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157913";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"102.0"
"CHEMBL1088514";"";"None";"451.92";"1";"6.50";"14";"CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccc1OC(F)(F)F";"Inhibition";"'='";"68.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1103807";"Inhibition of CYP3A4 in human liver microsomes assessed as metabolite produced at 10 uM using midazolam as substrate by LC-MS/MS analysis relative to control";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157913";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"68.0"
"CHEMBL1087464";"";"None";"369.43";"1";"5.06";"2";"CCN(CC)CCCC(C)Nc1ccnc2cc(OC(F)(F)F)ccc12";"Inhibition";"'='";"120.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1103808";"Inhibition of CYP3A4 in human liver microsomes assessed as metabolite produced at 10 uM using testosterone as substrate by LC-MS/MS analysis relative to control";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157913";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"120.0"
"CHEMBL3352844";"";"None";"415.52";"0";"1.70";"18";"C[C@@H]1Cn2ncc(C3CCN(S(C)(=O)=O)CC3)c2CN1c1ccnc2[nH]cnc12";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3372394";"Time dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate assessed as ratio of Kinact to Ki preincubated for 0 to 30 mins followed by NADPH addition in phosphate buffer at 50 uM";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsomes";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351372";"1";"Scientific Literature";"ACS Med Chem Lett";"2015";"None";"";"";"";""
"CHEMBL3410045";"";"None";"401.47";"0";"4.27";"18k";"Cc1ccc(N(CCO)C(=O)Nc2ccc(-c3ncnc4[nH]cc(C)c34)cc2)cc1";"Inhibition";"'='";"5.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3411306";"Inhibition of CYP3A4 (unknown origin) assessed as reduction in midazolam hydroxylation to 1'-Hydroxymidazolam at 10 uM";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3407489";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"5.0"
"CHEMBL3410054";"";"None";"452.92";"1";"5.03";"18t";"Cc1[nH]c2ncnc(-c3ccc(NC(=O)N(CCN)c4ccc(Cl)cc4)c(F)c3)c2c1C";"Inhibition";"'='";"-11.0";"%";"";"Outside typical range";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3411306";"Inhibition of CYP3A4 (unknown origin) assessed as reduction in midazolam hydroxylation to 1'-Hydroxymidazolam at 10 uM";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3407489";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"-11.0"
"CHEMBL2441636";"";"None";"371.53";"0";"3.42";"5a(SS), SAR110068";"Cc1cc(N2CC[C@H](N3CCC[C@@H]3C)C2)ccc1NC(=O)C1CCOCC1";"Inhibition";"'='";"61.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2443791";"Inhibition of CYP3A4 (unknown origin) at 5 uM";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440017";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"61.0"
"CHEMBL3398252";"";"None";"652.67";"2";"5.67";"2";"O=C(/C=C(\O)C(=O)N1CCN(c2ccc(-n3cccc3)cc2)CC1)c1cc(Cc2cc(F)cc(F)c2)cn(Cc2ccccc2F)c1=O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3398967";"Inhibition of CYP3A4 in pooled mixed-gender human liver microsomes at <25 uM using triazolam substrate in presence of NADPH pre-incubated for 3 mins by HPLC-UV detection method";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsomes";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3397011";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";""
"CHEMBL609877";"";"None";"587.16";"2";"7.55";"26";"CC(=O)N1c2ccccc2C[C@H]1COc1ccc2c(c1)c(CC(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1";"Inhibition";"'>'";"80.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1070652";"Inhibition of CYP3A4 at 10 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153124";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"80.0"
"CHEMBL3394681";"";"None";"414.42";"0";"1.90";"7g";"Cc1nc(-n2cnn(Cc3ccc(F)cc3)c2=O)sc1C(=O)NCc1ncco1";"Inhibition";"'>'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3396831";"Inhibition of CYP3A4 (unknown origin) at 10 uM";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3393027";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"50.0"
"CHEMBL157101";"KETOCONAZOLE";"4.0";"531.44";"1";"4.21";"KTZ";"CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1";"Inhibition";"'='";"96.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL931794";"Inhibition of recombinant CYP3A4 at 1 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141584";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"96.0"
"CHEMBL519562";"";"None";"486.04";"0";"4.60";"3a";"O=C(CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(c2cnc3n2CCCC3)CC1";"Inhibition";"'='";"42.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL954034";"Inhibition of CYP3A4 expressed in human B-lymphoblastoid cells at 10 uM";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150763";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"42.0"
"CHEMBL487105";"";"None";"501.01";"1";"3.64";"3q";"Cc1ncc2n1C(=O)N(C1CCN(C(=O)CCS(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC1)C2";"Inhibition";"'='";"23.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL954034";"Inhibition of CYP3A4 expressed in human B-lymphoblastoid cells at 10 uM";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150763";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"23.0"
"CHEMBL550038";"";"None";"432.45";"0";"2.93";"(S)-27, MMP145";"CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(N3CCOC3=O)cc12)C(=O)O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1062299";"Inhibition of CYP3A4";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152446";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";""
"CHEMBL2429886";"";"None";"496.61";"1";"5.39";"3k";"O=C(N[C@@H](Cc1c[nH]c2ccc(OCc3ccccc3)cc12)C(=O)Nc1ccncc1)C1CCCCC1";"Inhibition";"'='";"99.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2434293";"Inhibition of CYP3A4 in human liver microsomes assessed as midazolam hydroxylation to 1'-hydroxymidazolam at 10 uM after 10 mins relative to control";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2429844";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"99.0"
"CHEMBL2430727";"";"None";"382.85";"0";"4.56";"35";"Cc1ccc(C(=O)O)cc1-c1cnc(N)c(N[C@H](C)c2ccc(Cl)cc2)n1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL2432245";"Inhibition of CYP3A4 (unknown origin) up to 10 uM";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2429790";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";""
"CHEMBL256982";"";"None";"325.82";"0";"2.90";"23";"CS(=O)(=O)Nc1c(Cl)ccc2c1CCCC2c1ncc[nH]1";"Inhibition";"'<'";"25.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL934644";"Inhibition of CYP3A4 at 10 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145605";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"25.0"
